State FIPS Code,County FIPS Code,State,FIPS Code,"State, County",County,median_household_income_2023,median_household_income_2022,median_household_income_2021,median_household_income_2020,median_household_income_2019,civilian_labor_force_2019,employed_2019,unemployed_2019,unemployment_rate_2019,civilian_labor_force_2020,employed_2020,unemployed_2020,unemployment_rate_2020,civilian_labor_force_2021,employed_2021,unemployed_2021,unemployment_rate_2021,civilian_labor_force_2022,employed_2022,unemployed_2022,unemployment_rate_2022,civilian_labor_force_2023,employed_2023,unemployed_2023,unemployment_rate_2023,opioid_dispensing_rate_2019 ,opioid_dispensing_rate_2020 ,opioid_dispensing_rate_2021 ,opioid_dispensing_rate_2022,opioid_dispensing_rate_2023,drug_od_count_2019,drug_od_count_2020,drug_od_count_2021,drug_od_count_2022,drug_od_count_2023
51,720,VA,51720,"VA, Norton city",Norton city,42618,41298,38316,36004,38062,1685,1624,61,0.04,1648,1522,126,0.08,1603,1524,79,0.05,1601,1542,59,0.04,1624,1557,67,0.04,569.1,441,390.7,374.9,403.9,0,0,0,0,0
51,775,VA,51775,"VA, Salem city",Salem city,63701,63676,60740,70349,54888,12930,12574,356,0.03,12636,11880,756,0.06,12532,12087,445,0.04,12881,12518,363,0.03,13249,12859,390,0.03,390.2,377.7,396.4,379.3,342.2,0,0,0,0,0
51,690,VA,51690,"VA, Martinsville city",Martinsville city,44547,41500,38571,35715,37814,5493,5270,223,0.04,5612,4979,633,0.11,5535,5132,403,0.07,5571,5321,250,0.04,5627,5361,266,0.05,374.8,315.7,302.4,234.3,176.5,0,0,0,0,0
21,193,KY,21193,"KY, Perry County",Perry County,42519,33585,31522,33712,29572,8316,7839,477,0.06,8087,7384,703,0.09,7915,7449,466,0.06,7909,7499,410,0.05,7982,7535,447,0.06,319.2,284.7,280.5,270,264.5,7,18,35,22,25
42,093,PA,42093,"PA, Montour County",Montour County,73087,76229,68053,63341,65534,9287,8958,329,0.04,9137,8584,553,0.06,9103,8732,371,0.04,9216,8921,295,0.03,9383,9131,252,0.03,298.7,260.2,246.4,241.7,230,1,1,5,3,4
46,127,SD,46127,"SD, Union County",Union County,97016,50258,47315,47857,46602,8632,8385,247,0.03,8646,8253,393,0.05,8634,8375,259,0.03,8697,8509,188,0.02,8726,8540,186,0.02,280.1,225.5,189.4,173.4,163.5,6,0,0,0,0
21,145,KY,21145,"KY, McCracken County",McCracken County,60801,60026,60504,50650,48219,29176,27796,1380,0.05,28577,26594,1983,0.07,29219,27814,1405,0.05,29715,28486,1229,0.04,29813,28607,1206,0.04,254.2,236.4,221.7,215.1,199.7,14,14,8,15,15
51,630,VA,51630,"VA, Fredericksburg city",Fredericksburg city,75915,71217,77437,72437,62121,14196,13722,474,0.03,14065,13031,1034,0.07,13982,13336,646,0.05,14352,13889,463,0.03,14788,14285,503,0.03,233.5,232.7,226.7,218.9,193.6,0,0,0,0,0
51,840,VA,51840,"VA, Winchester city",Winchester city,63514,60557,55908,58295,60254,14830,14420,410,0.03,14563,13668,895,0.06,14615,14106,509,0.03,15080,14684,396,0.03,15632,15188,444,0.03,227.9,218.1,204.9,217.5,236,0,0,0,0,0
28,035,MS,28035,"MS, Forrest County",Forrest County,51328,51344,45326,42082,40224,33176,31433,1743,0.05,32449,29865,2584,0.08,33227,31398,1829,0.06,33275,32056,1219,0.04,33036,32051,985,0.03,206.3,186.2,187.2,185.1,188.5,10,4,26,14,16
17,069,IL,17069,"IL, Hardin County",Hardin County,51216,46568,47144,39674,44573,1309,1227,82,0.06,1296,1167,129,0.10,1359,1263,96,0.07,1434,1357,77,0.05,1443,1363,80,0.06,186.6,167.1,160.1,150,142.5,0,0,0,0,9
21,049,KY,21049,"KY, Clark County",Clark County,72386,50519,47158,46464,44105,17228,16582,646,0.04,16861,15784,1077,0.06,16881,16171,710,0.04,17156,16527,629,0.04,17231,16581,650,0.04,181.1,185.4,191.6,192,173.2,15,35,21,24,25
13,277,GA,13277,"GA, Tift County",Tift County,53295,52962,48717,45093,47764,20390,19695,695,0.03,20546,19509,1037,0.05,21013,20283,730,0.03,21063,20461,602,0.03,20929,20326,603,0.03,178.6,179.5,192.1,175.1,168.8,8,1,13,13,3
51,169,VA,51169,"VA, Scott County",Scott County,46015,42599,39974,41230,38065,9146,8864,282,0.03,8925,8430,495,0.06,8875,8557,318,0.04,9184,8899,285,0.03,9391,9088,303,0.03,169.4,143.2,153.1,140.4,139.6,0,0,0,0,0
05,031,AR,05031,"AR, Craighead County",Craighead County,60204,60580,52490,51797,47766,55698,54162,1536,0.03,55666,52654,3012,0.05,55855,54022,1833,0.03,57007,55481,1526,0.03,57392,55816,1576,0.03,168,165.2,153.6,142.6,138.2,1,5,17,17,16
28,075,MS,28075,"MS, Lauderdale County",Lauderdale County,51437,59023,52222,52293,48188,30390,28701,1689,0.06,29233,27065,2168,0.07,29044,27500,1544,0.05,28711,27574,1137,0.04,28114,27208,906,0.03,166.2,160.4,154.2,155,152.1,4,3,7,5,4
